redshift,stellar_mass,deVRad_r,deVAB_r,expRad_r,expAB_r,class,class_label
0.11336,10.568319,6.788415,0.340546,3.239692,0.371624,1,spiral
0.112591,10.403507,6.371285,0.800724,2.836414,0.827884,1,spiral
0.062861,10.830493,11.142262,0.376496,4.91454,0.39617,1,spiral
0.13977,11.003032,1.836654,0.314027,1.312815,0.387005,1,spiral
0.096493,10.393003,5.369645,0.281727,2.961321,0.313731,1,spiral
0.173342,11.255174,1.87868,0.884923,1.203488,0.841024,1,spiral
0.096788,10.808784,1.800302,0.477807,1.070777,0.564227,1,spiral
0.098239,10.359907,8.329038,0.212269,3.547783,0.261738,1,spiral
0.097664,10.892523,2.991722,0.777017,1.609945,0.830996,1,spiral
0.215577,11.299644,1.589701,0.631404,1.047996,0.652447,0,elliptical
0.107096,10.850085,6.372389,0.74473,2.864329,0.72717,1,spiral
0.150888,11.32513,10.661572,0.177113,4.685132,0.199953,1,spiral
0.096391,10.605766,1.179816,0.911296,0.829101,0.929617,0,elliptical
0.096949,10.713529,2.639536,0.564438,1.772714,0.556254,1,spiral
0.066021,10.702728,3.28482,0.806906,1.854481,0.773978,0,elliptical
0.080683,10.531322,3.454309,0.143583,2.340292,0.191973,1,spiral
0.138387,11.336521,0.85687,0.999966,0.845232,0.999893,0,elliptical
0.113008,10.899199,4.730721,0.397114,2.462595,0.419657,1,spiral
0.134106,11.371619,3.012892,0.740213,1.596078,0.786224,0,elliptical
0.133049,10.844234,12.240406,0.681949,4.330776,0.714888,1,spiral
0.094787,10.979658,2.884628,0.745734,1.628919,0.780749,1,spiral
0.113904,10.793432,7.865799,0.244913,3.930472,0.265917,1,spiral
0.097292,11.178657,9.154483,0.205838,4.138002,0.262486,1,spiral
0.081756,9.987277,11.589539,0.207529,4.64159,0.234498,1,spiral
0.09406,10.434896,9.966481,0.586,3.981305,0.587839,1,spiral
0.126191,10.751481,5.698172,0.399984,2.674582,0.460837,1,spiral
0.063078,10.337947,15.504889,0.366033,5.998723,0.395969,1,spiral
0.0388,10.10242,19.64883,0.875642,7.193122,0.869075,1,spiral
0.063414,9.915936,16.417425,0.894153,5.441875,0.879086,1,spiral
0.116473,11.296182,4.013326,0.694178,1.988318,0.776953,0,elliptical
0.161146,10.992592,6.478559,0.299839,3.293843,0.332131,1,spiral
0.07168,11.158496,4.447512,0.842229,2.360718,0.834027,0,elliptical
0.10616,10.69956,1.258487,0.985464,0.975594,0.986769,0,elliptical
0.051764,10.635822,9.610373,0.249994,4.824759,0.266054,1,spiral
0.026092,9.427157,14.022326,0.413029,5.884429,0.409845,1,spiral
0.073169,10.99747,5.412634,0.335241,2.849424,0.357847,1,spiral
0.09261,11.22791,1.804048,0.633614,1.424692,0.633796,1,spiral
0.075519,10.13173,15.349642,0.156095,6.459153,0.174886,1,spiral
0.09458,10.737785,5.504139,0.243664,2.737259,0.288836,1,spiral
0.038042,10.350268,3.38622,0.790751,1.898569,0.791218,0,elliptical
0.068112,10.281146,12.524483,0.836114,5.554429,0.8378,1,spiral
0.095571,10.501491,5.611677,0.367398,2.900068,0.391928,1,spiral
0.082279,10.526569,7.938724,0.469127,3.583791,0.482548,1,spiral
0.08506,10.498392,7.578457,0.549271,3.141623,0.563285,1,spiral
0.103583,10.913501,2.443945,0.629823,1.772999,0.631721,1,spiral
0.123698,10.924008,7.631086,0.20751,3.722663,0.255279,1,spiral
0.039486,11.005319,4.943473,0.978102,3.689786,0.966073,0,elliptical
0.112065,11.034002,3.224811,0.292846,2.075102,0.325493,1,spiral
0.122871,11.241949,2.115253,0.823316,1.291326,0.855846,0,elliptical
0.063044,9.772025,6.596281,0.487975,2.866344,0.523723,1,spiral
0.112176,10.803102,3.106387,0.231193,1.919253,0.270518,1,spiral
0.184145,10.923835,4.595139,0.894966,2.112056,0.897773,1,spiral
0.0815,10.260623,1.739212,0.75113,1.039107,0.789829,0,elliptical
0.072608,10.406645,10.714874,0.332874,4.690184,0.35074,1,spiral
0.193673,11.468943,3.476422,0.755217,1.856996,0.764792,0,elliptical
0.102658,10.939163,4.399214,0.483117,2.634229,0.514222,1,spiral
0.040571,10.510079,19.11512,0.728069,7.51063,0.699981,1,spiral
0.082448,10.278809,5.116688,0.303914,2.663269,0.335681,1,spiral
0.04805,9.669775,11.031132,0.281552,5.030906,0.284583,1,spiral
